Station,Latitude,Longitude
1,49.597992,-87.964216
2,48.926076,-87.689935
3,48.904724,-88.375945
4,48.848033,-86.606977
5,48.822786,-88.531901
6,48.778199,-86.883948
7,48.772821,-86.293659
8,48.687887,-86.212935
9,48.530943,-89.593907
10,48.291885,-89.808437
11,48.013606,-89.614129
12,47.93494,-84.835745
13,47.658084,-92.200491
14,47.526885,-92.122169
15,47.362875,-92.600109
16,47.337175,-91.199086
17,47.00186,-84.514287
18,46.861349,-83.969992
19,46.685116,-81.009562
20,46.638275,-80.259545
21,46.609971,-81.035293
22,46.598374,-81.381453
23,46.580278,-81.19844
24,46.718924,-89.207686
25,46.69795,-89.167536
26,46.634105,-92.095702
27,46.521244,-92.38676
28,46.585418,-88.57652
29,46.487741,-90.692139
30,46.491688,-90.933915
31,46.394625,-83.284329
32,46.585276,-89.541994
33,46.210749,-82.06501
34,46.478185,-89.092
35,46.281293,-87.441899
36,46.200911,-83.027013
37,46.246219,-88.012148
38,46.115149,-88.218958
39,46.035399,-86.161622
40,45.960413,-88.316309
41,45.773067,-80.488415
42,45.66879,-79.378131
43,45.909883,-87.210156
44,45.616847,-79.388001
45,45.839425,-88.339509
46,45.764431,-88.462766
47,45.391585,-79.162104
48,45.325053,-87.660823
49,45.276267,-84.604601
50,45.102494,-85.097905
51,44.714281,-79.280939
52,44.864332,-88.29703
52,44.864329,-88.297365
53,44.675231,-84.291202
54,44.656231,-85.434441
55,44.253026,-77.417564
56,44.611422,-83.836694
57,44.456709,-81.323252
58,43.985846,-75.923229
59,43.894124,-75.402139
60,44.435337,-85.701325
61,44.391196,-88.754476
62,44.249963,-79.820726
63,43.746742,-75.331692
64,44.118806,-81.114367
65,44.214668,-85.898425
66,44.193645,-85.769268
67,44.180981,-85.759379
68,44.118644,-85.684681
69,44.072285,-84.018102
70,44.10598,-87.714752
71,44.114859,-85.681642
72,43.511397,-75.307118
73,43.812659,-79.624625
74,43.835609,-80.022767
75,43.785509,-79.58952
76,43.909796,-81.256439
77,43.729616,-79.548889
78,43.82679,-81.492575
79,43.699016,-79.520344
80,43.684847,-79.360219
81,43.943926,-86.278125
82,43.951671,-88.948943
83,43.898377,-85.25492
84,43.54344,-79.655909
85,43.581538,-80.509635
86,43.535333,-80.251808
87,43.685147,-81.54129
88,43.69226,-85.468687
89,43.096992,-75.639539
90,43.599641,-84.229144
91,43.626922,-84.706928
92,43.452062,-81.206413
93,43.696536,-87.817386
94,43.352162,-80.31475
95,43.038461,-76.307334
96,43.431275,-85.595843
97,43.099559,-77.87896
98,43.253837,-81.146303
99,43.194937,-80.449878
100,43.327218,-83.759959
101,43.218572,-81.219415
102,43.132935,-80.266669
103,43.150657,-81.19062
104,43.278721,-87.944216
105,43.152458,-82.622862
106,43.057704,-80.994277
107,43.040785,-80.887565
108,43.072844,-81.660612
109,43.091624,-82.616718
110,43.010618,-77.790619
111,42.767178,-77.839652
112,43.114624,-88.065553
113,42.972884,-81.210226
114,43.098732,-87.907663
115,43.059197,-87.894638
116,43.039495,-83.770801
117,42.918143,-77.231789
118,43.047391,-87.997486
119,42.8329,-78.775116
120,43.031512,-87.963318
121,43.031589,-87.954099
122,42.856047,-78.75439
123,43.110656,-84.696946
124,43.015016,-84.181231
125,42.965688,-85.675743
126,42.828373,-81.85067
127,42.452359,-76.473508
128,42.40187,-76.543711
129,42.710862,-80.839833
130,42.686058,-80.536141
131,42.685044,-80.798689
132,42.569591,-78.043845
133,42.750602,-84.55455
134,42.645414,-82.013518
135,42.730967,-84.477921
136,42.627662,-82.889437
137,42.611952,-83.028734
138,42.597205,-82.905927
139,42.543863,-81.968887
140,42.576828,-82.950188
141,42.614599,-85.234332
142,42.447547,-83.296621
143,42.385173,-82.096877
144,42.123285,-77.956227
145,42.396363,-83.275659
146,42.373664,-83.25609
147,42.331081,-83.244466
148,42.309109,-83.253544
149,42.330361,-85.148273
150,42.324129,-85.198562
151,42.353793,-86.186473
152,42.300815,-83.29956
153,42.284372,-84.40724
154,42.256411,-85.937374
155,42.216883,-86.198243
156,42.169207,-84.072897
157,41.926898,-80.602467
158,42.012444,-87.796436
159,41.956412,-83.527508
160,41.716609,-81.227316
161,41.687122,-85.979892
162,41.829196,-86.256269
163,41.622779,-87.087313
164,41.606251,-87.597874
165,41.634177,-85.110335
166,41.631904,-81.401835
167,41.594046,-85.84752
168,41.504853,-84.428274
169,41.409643,-81.882435
170,41.455878,-83.344323
171,41.468472,-84.814074
172,41.340435,-81.164253
173,41.380079,-82.103659
174,41.501555,-83.713977
175,41.451995,-83.363817
176,41.385161,-81.527792
177,41.388163,-84.799308
178,41.301058,-82.607914
179,41.372497,-82.111199
180,41.308402,-83.156585
181,41.264478,-82.18191
182,41.139395,-81.548216
183,41.223297,-85.0765
184,41.381593,-82.319219
185,41.189675,-82.098048
186,41.131289,-82.473438
187,41.018923,-83.111347
188,41.055953,-83.689274
189,40.988746,-85.104915
190,40.850254,-84.93719
191,40.94924,-84.265034
